#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
42,Switzerland,"887,446",,"11,290 ",+3,"835,095",,"41,061",99,"101,542","1,292","11,834,947","1,354,161","8,739,692 ",Europe,107741,,0.3,"4,698",,
43,Austria,"875,333","+9,943","11,482 ",+31,"795,835","+4,555","68,016",359,"96,450","1,265","99,857,207","11,002,967","9,075,480 ",Europe,107900,"1,096",3,"7,494",,
44,Jordan,"873,707","+1,122","11,114 ",+12,"838,644",+746,"23,949",644,"84,504","1,075","11,168,182","1,080,175","10,339,238 ",Asia,129301,109,1,"2,316",,
45,Nepal,"814,417",+128,"11,439 ",+1,"794,834",+649,"8,144",,"27,293",383,"4,449,634","149,115","29,840,248 ",Asia,"372,6097",4,0.03,273,,
46,Greece,"780,621","+6,356","16,243 ",+43,"704,206","+6,032","60,172",459,"75,389","1,569","27,492,713","2,655,132","10,354,555 ",Europe,136370,614,4,"5,811",,
47,Georgia,"748,751","+5,240","10,368 ",+68,"684,154","+2,235","54,229",,"188,182","2,606","10,516,657","2,643,129","3,978,867 ",Asia,53840,"1,317",17,"13,629",,
48,UAE,"740,362",+73,"2,139 ",+1,"734,796",+101,"3,427",,"73,661",213,"94,902,878","9,442,200","10,050,929 ",Asia,"144,6990",7,0.10,341,,
49,Tunisia,"713,154",+83,"25,267 ",+3,"686,713",+54,"1,174",58,"59,505","2,108","3,091,094","257,918","11,984,779 ",Africa,174744,7,0.3,98,,
50,Lebanon,"645,104",,"8,534 ",,"619,188",,"17,382",200,"95,087","1,258","4,780,275","704,606","6,784,322 ",Asia,117951,,,"2,562",,
51,Bulgaria,"628,680",,"24,940 ",,"493,189",,"110,551",724,"91,404","3,626","5,786,033","841,231","6,878,058 ",Europe,112761,,,"16,073",,
52,Belarus,"612,015","+1,993","4,730 ",+18,"587,208","+2,494","20,077",,"64,797",501,"9,814,116","1,039,065","9,445,142 ",Europe,"151,9971",211,2,"2,126",,
53,Guatemala,"604,586",,"15,338 ",,"585,194",,"4,054",5,"32,929",835,"2,940,388","160,148","18,360,385 ",North America,"301,1976",,,221,,
54,Costa Rica,"562,316",,"7,134 ",,"513,693",,"41,489",227,"109,047","1,383","2,575,363","499,428","5,156,629 ",North America,97232,,,"8,046",,
55,Saudi Arabia,"548,890",+42,"8,803 ",+1,"537,794",+33,"2,293",52,"15,443",248,"30,558,607","859,792","35,541,874 ",Asia,"654,0371",1,0.03,65,,
56,Azerbaijan,"544,650","+2,500","7,241 ",+33,"505,767","+2,243","31,642",,"53,075",706,"5,271,849","513,726","10,261,989 ",Asia,"191,4172",244,3,"3,083",,
57,Sri Lanka,"544,495",+482,"13,841 ",+20,"514,912",+339,"15,742",,"25,285",643,"5,381,256","249,896","21,533,962 ",Asia,"401,5564",22,0.9,731,,
58,Ecuador,"518,274",,"32,983 ",,"443,880",,"41,411",759,"28,789","1,832","1,917,796","106,528","18,002,804 ",South America,355469,,,"2,300",,
59,Bolivia,"517,229",+976,"18,960 ",+9,"478,391",+453,"19,878",220,"43,513","1,595","2,563,530","215,660","11,886,879 ",South America,236275,82,0.8,"1,672",,
60,Slovakia,"513,297","+6,502","13,205 ",+39,"440,065","+3,436","60,027",335,"93,955","2,417","4,060,627","743,269","5,463,199 ",Europe,114141,"1,190",7,"10,988",,
61,Myanmar,"505,998",+960,"18,804 ",+21,"476,895","+1,445","10,299",,"9,217",343,"5,008,046","91,221","54,900,091 ",Asia,"1082,92011",17,0.4,188,,
62,Croatia,"497,168","+7,094","9,450 ",+50,"456,029","+3,896","31,689",234,"122,118","2,321","3,171,181","778,930","4,071,202 ",Europe,84311,"1,742",12,"7,784",,
63,Panama,"473,183",,"7,322 ",,"464,161",,"1,700",49,"107,396","1,662","4,096,752","929,819","4,405,967 ",North America,96021,,,386,,
64,Ireland,"465,958","+3,685","5,492 ",,"392,339","+1,206","68,127",74,"92,971","1,096","8,251,717","1,646,429","5,011,889 ",Europe,119131,735,,"13,593",,
65,Paraguay,"461,275",,"16,258 ",,"444,671",,346,35,"63,622","2,242","1,904,545","262,688","7,250,230 ",South America,164464,,,48,,
66,Palestine,"425,020",,"4,444 ",,"416,184",,"4,392",58,"80,795",845,"2,656,678","505,026","5,260,478 ",Asia,"121,1842",,,835,,
67,Lithuania,"424,884","+3,279","6,084 ",+27,"380,272","+5,133","38,528",228,"159,064","2,278","5,703,613","2,135,259","2,671,157 ",Europe,64390,"1,228",10,"14,424",,
68,Kuwait,"412,793",,"2,462 ",,"410,021",,310,5,"94,778",565,"4,908,976","1,127,105","4,355,384 ",Asia,"111,7691",,,71,,
69,Venezuela,"411,574",,"4,946 ",,"396,461",,"10,167",681,"14,529",175,"3,359,014","118,578","28,327,553 ",South America,"695,7278",,,359,,
70,Denmark,"400,145","+2,097","2,735 ",+10,"372,741","+1,238","24,669",36,"68,758",470,"86,943,202","14,939,649","5,819,628 ",Europe,"152,1280",360,2,"4,239",,
71,Uruguay,"394,914",,"6,084 ",,"386,457",,"2,373",24,"113,159","1,743","3,882,793","1,112,575","3,489,917 ",South America,95741,,,680,,
72,Dominican Republic,"387,269",+984,"4,150 ",+2,"378,687",+999,"4,432",254,"35,225",377,"2,257,715","205,357","10,994,080 ",North America,"282,6495",90,0.2,403,,
73,S. Korea,"377,712","+2,248","2,956 ",+20,"336,548",,"38,208",411,"7,359",58,"15,804,065","307,900","51,328,525 ",Asia,"13617,3643",44,0.4,744,,
74,Honduras,"376,281",+137,"10,309 ",+12,"116,109",,"249,863",120,"37,196","1,019","1,098,345","108,574","10,116,119 ",North America,279819,14,1,"24,699",,
75,Ethiopia,"366,783",,"6,517 ",,"342,562",,"17,704",390,"3,088",55,"3,729,296","31,396","118,782,354 ",Africa,"32418,22732",,,149,,
76,Mongolia,"366,173",+940,"1,797 ",+9,"313,256",,"51,120",192,"109,332",537,"4,030,048","1,203,297","3,349,172 ",Asia,"91,8641",281,3,"15,263",,
77,Libya,"360,266",,"5,186 ",,"304,803",,"50,277",,"51,490",741,"1,812,030","258,980","6,996,787 ",Africa,"191,3494",,,"7,186",,
78,Slovenia,"353,660","+3,662","4,820 ",+14,"313,603","+2,258","35,237",119,"170,084","2,318","1,774,803","853,549","2,079,322 ",Europe,64311,"1,761",7,"16,946",,
79,Moldova,"345,517",+954,"8,056 ",+49,"321,388",,"16,073",345,"85,921","2,003","2,055,617","511,176","4,021,351 ",Europe,124992,237,12,"3,997",,
80,Egypt,"335,673",,"18,949 ",,"281,864",,"34,860",90,"3,199",181,"3,693,367","35,200","104,924,897 ",Africa,"3135,53728",,,332,,
81,Armenia,"319,016","+2,177","6,628 ",+46,"279,148","+2,283","33,240",,"107,388","2,231","2,167,911","729,767","2,970,691 ",Asia,94481,733,15,"11,189",,
82,Oman,"304,329",,"4,112 ",,"299,699",,518,6,"57,630",779,"25,000,000","4,734,155","5,280,774 ",Asia,"171,2840",,,98,,
83,Bahrain,"277,011",,"1,393 ",,"275,249",,369,3,"155,556",782,"7,001,240","3,931,560","1,780,779 ",Asia,"61,2780",,,207,,
84,Bosnia and Herzegovina,"257,401",,"11,717 ",,"192,218",,"53,466",,"79,119","3,602","1,319,130","405,467","3,253,360 ",Europe,132782,,,"16,434",,
85,Kenya,"253,813",+76,"5,305 ",+9,"247,243",+41,"1,265",33,"4,585",96,"2,735,256","49,408","55,360,261 ",Africa,"21810,43520",1,0.2,23,,
86,Qatar,"239,995",+124,611 ,,"237,987",+87,"1,397",9,"85,474",218,"2,865,143","1,020,421","2,807,805 ",Asia,"124,5951",44,,498,,
87,Latvia,"230,569","+1,888","3,472 ",+28,"194,399","+3,109","32,698",246,"124,087","1,869","5,088,290","2,738,393","1,858,130 ",Europe,85350,"1,016",15,"17,597",,
88,Norway,"214,795",,922 ,,"88,952",,"124,921",40,"39,209",168,"8,212,842","1,499,182","5,478,215 ",Europe,"265,9421",,,"22,803",,
89,Singapore,"212,745",,468 ,,"185,252",,"27,025",70,"35,984",79,"20,982,378","3,549,008","5,912,181 ",Asia,"2812,6330",,,"4,571",,
