#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
56,Sri Lanka,"536,084",+555,"13,611 ",+18,"503,388",+298,"19,085",,"24,898",632,"5,381,256","249,930","21,531,026 ",Asia,"401,5824",26,0.8,886,,
57,Azerbaijan,"516,325","+2,036","6,894 ",+25,"484,604","+1,045","24,827",,"50,329",672,"5,108,298","497,934","10,258,996 ",Asia,"201,4882",198,2,"2,420",,
58,Ecuador,"515,606",,"32,952 ",,"443,880",,"38,774",759,"28,654","1,831","1,913,204","106,324","17,994,015 ",South America,355469,,,"2,155",,
59,Bolivia,"509,709",+433,"18,898 ",+2,"472,064",+405,"18,747",220,"42,899","1,591","2,507,336","211,026","11,881,658 ",South America,236295,36,0.2,"1,578",,
60,Myanmar,"494,263",+687,"18,538 ",+27,"456,781","+1,605","18,944",,"9,005",338,"4,734,814","86,263","54,888,151 ",Asia,"1112,96112",13,0.5,345,,
61,Panama,"471,403",,"7,307 ",,"461,819",,"2,277",49,"107,046","1,659","4,025,224","914,047","4,403,739 ",North America,96031,,,517,,
62,Paraguay,"460,723",+22,"16,231 ",+1,"444,229",+36,263,13,"63,571","2,240","1,882,451","259,743","7,247,358 ",South America,164474,3,0.1,36,,
63,Slovakia,"456,438","+3,207","12,903 ",+8,"412,674","+1,153","30,861",236,"83,549","2,362","3,854,815","705,608","5,463,112 ",Europe,124231,587,1,"5,649",,
64,Croatia,"445,325","+2,293","9,038 ",+28,"418,446","+1,743","17,841",131,"109,362","2,220","3,034,685","745,252","4,072,028 ",Europe,94511,563,7,"4,381",,
65,Ireland,"429,877","+1,725","5,369 ",,"376,514","+1,163","47,994",97,"85,802","1,072","7,897,226","1,576,267","5,010,081 ",Europe,129331,344,,"9,579",,
66,Palestine,"421,103",+270,"4,368 ",+10,"408,152","+1,113","8,583",63,"80,110",831,"2,605,470","495,659","5,256,580 ",Asia,"121,2032",51,2,"1,633",,
67,Kuwait,"412,527",+21,"2,461 ",+1,"409,598",+30,468,5,"94,762",565,"4,704,177","1,080,597","4,353,312 ",Asia,"111,7691",5,0.2,108,,
68,Venezuela,"399,667",,"4,800 ",,"380,721",,"14,146",681,"14,107",169,"3,359,014","118,567","28,330,183 ",South America,"715,9028",,,499,,
69,Uruguay,"392,148",+119,"6,071 ",,"384,363",+152,"1,714",20,"112,379","1,740","3,768,680","1,079,999","3,489,523 ",South America,95751,34,,491,,
70,Lithuania,"388,185","+2,285","5,633 ",+25,"344,411",+345,"38,141",242,"145,257","2,108","5,449,145","2,039,051","2,672,393 ",Europe,74740,855,9,"14,272",,
71,Denmark,"376,414","+1,349","2,699 ",+2,"361,191",+466,"12,524",16,"64,687",464,"85,234,783","14,647,767","5,818,961 ",Europe,"152,1560",232,0.3,"2,152",,
72,Dominican Republic,"376,272",+727,"4,108 ",+2,"366,109",+960,"6,055",240,"34,236",374,"2,178,394","198,207","10,990,516 ",North America,"292,6755",66,0.2,551,,
73,Honduras,"374,148",,"10,192 ",,"115,359",,"248,597",165,"37,004","1,008","1,080,111","106,826","10,110,950 ",North America,279929,,,"24,587",,
74,Ethiopia,"362,335",+247,"6,358 ",+11,"335,416","+2,471","20,561",523,"3,053",54,"3,650,175","30,754","118,688,706 ",Africa,"32818,66833",2,0.09,173,,
75,Libya,"353,626",+745,"5,006 ",+24,"288,170","+1,730","60,450",,"50,563",716,"1,762,521","252,015","6,993,723 ",Africa,"201,3974",107,3,"8,643",,
76,S. Korea,"351,899","+1,423","2,766 ",+21,"323,393",+857,"25,740",316,"6,856",54,"15,504,985","302,082","51,327,083 ",Asia,"14618,5563",28,0.4,501,,
77,Mongolia,"349,509","+1,321","1,660 ",+17,"313,256",,"34,593",192,"104,411",496,"4,030,048","1,203,919","3,347,440 ",Asia,"102,0171",395,5,"10,334",,
78,Moldova,"328,000",+906,"7,497 ",+38,"305,068",,"15,435",285,"81,558","1,864","1,965,179","488,649","4,021,657 ",Europe,125362,225,9,"3,838",,
79,Egypt,"324,619",+886,"18,285 ",+43,"274,007",+853,"32,327",90,"3,096",174,"3,693,367","35,221","104,861,519 ",Africa,"3235,73528",8,0.4,308,,
80,Slovenia,"319,913","+1,497","4,683 ",+5,"296,778",+484,"18,452",85,"153,855","2,252","1,689,908","812,724","2,079,313 ",Europe,64441,720,2,"8,874",,
81,Oman,"304,163",+18,"4,110 ",+1,"299,540",+48,513,3,"57,645",779,"25,000,000","4,737,987","5,276,502 ",Asia,"171,2840",3,0.2,97,,
82,Armenia,"295,368","+2,354","6,013 ",+38,"260,731","+1,026","28,624",,"99,433","2,024","1,992,595","670,792","2,970,510 ",Asia,104941,792,13,"9,636",,
83,Bahrain,"276,571",+45,"1,393 ",,"274,519",+46,659,1,"155,479",783,"6,812,218","3,829,608","1,778,829 ",Asia,"61,2770",25,,370,,
84,Kenya,"252,672",+44,"5,257 ",+2,"246,274",+247,"1,141",27,"4,567",95,"2,673,705","48,330","55,321,337 ",Africa,"21910,52321",0.8,0.04,21,,
85,Bosnia and Herzegovina,"247,958",,"11,322 ",,"192,218",,"44,418",,"76,200","3,479","1,281,963","393,962","3,254,026 ",Europe,132873,,,"13,650",,
86,Qatar,"238,518",+82,609 ,+1,"236,906",+66,"1,003",12,"84,948",217,"2,793,687","994,972","2,807,805 ",Asia,"124,6111",29,0.4,357,,
87,Nigeria,"210,460",+165,"2,882 ",+26,"202,379","+4,188","5,199",11,989,14,"3,142,971","14,768","212,823,072 ",Africa,"1,01173,84668",0.8,0.1,24,,
88,Zambia,"209,634",+5,"3,659 ",,"205,829",+36,146,9,"11,000",192,"2,572,596","134,994","19,057,125 ",Africa,"915,2087",0.3,,8,,
89,Algeria,"205,822",+72,"5,890 ",+4,"141,195",+66,"58,737",16,"4,585",131,"230,861","5,143","44,887,922 ",Africa,"2187,621194",2,0.09,"1,309",,
90,Latvia,"202,573","+2,252","3,028 ",+10,"167,123","+1,662","32,422",154,"108,980","1,629","4,800,919","2,582,793","1,858,809 ",Europe,96140,"1,212",5,"17,442",,
91,Norway,"200,517",+424,894 ,,"88,952",,"110,671",11,"36,612",163,"8,039,152","1,467,848","5,476,827 ",Europe,"276,1261",77,,"20,207",,
92,North Macedonia,"199,766",+227,"7,051 ",+15,"186,322",+111,"6,393",,"95,891","3,385","1,364,488","654,977","2,083,262 ",Europe,102952,109,7,"3,069",,
93,Botswana,"184,919",,"2,396 ",,"181,187",,"1,336",1,"76,610",993,"1,804,128","747,428","2,413,783 ",Africa,"131,0071",,,553,,
94,Uzbekistan,"183,569",+378,"1,304 ",+2,"179,222",+203,"3,043",23,"5,383",38,"1,377,915","40,402","34,104,697 ",Asia,"18626,15425",11,0.06,89,,
95,Estonia,"182,039","+1,787","1,461 ",+7,"159,479",+225,"21,099",40,"137,108","1,100","2,083,816","1,569,486","1,327,706 ",Europe,79091,"1,346",5,"15,891",,
